Model,Price group,Rows,MAE,RMSE
Benchmark RF,Dưới 10 triệu,2277,3.4759978137964533,7.171985260984362
Benchmark RF,10-30 triệu,2933,4.72397341677204,8.771187919582005
Benchmark RF,30-100 triệu,1618,13.883484065192523,21.584586183643463
Benchmark RF,Trên 100 triệu,313,89.34114656864918,141.38089094919994
Premium-aware RF,Dưới 10 triệu,2277,3.6310833838923404,7.520163736017443
Premium-aware RF,10-30 triệu,2933,4.645899159708395,7.832957681634913
Premium-aware RF,30-100 triệu,1618,13.78290802983988,22.06973660157362
Premium-aware RF,Trên 100 triệu,313,81.03221491084012,133.5810318898299
