Model,MAE,RMSE,R2,Premium rows,Premium MAE,Premium RMSE,Common MAE
Benchmark RF - 5-fold OOF,10.110281073641733,32.08875791753906,0.49147079802099336,313,89.34114656864918,141.38089094919994,6.478286214248452
Premium-aware RF - 5-fold OOF,9.740684436342454,30.58947661487052,0.5378806265095564,313,81.03221491084012,133.5810318898299,6.472633903460531
