Model,MAE,RMSE,R2,Premium rows,Premium MAE,Premium RMSE,Common MAE,Δ MAE,Δ RMSE,Δ Premium MAE,Δ Premium RMSE,Δ Common MAE,Δ R2
A. Feature cũ + RF cũ,10.129213903653586,33.26151604608555,0.4652027714873004,59,89.76380396333609,151.34658733360985,6.699695061667258,,,,,,
B. Feature cũ + RF mới,10.079015268477903,33.14861557699263,0.4688271634172886,59,90.22988227396522,151.17746467297636,6.627262601818231,-0.05019863517568268,-0.11290046909292073,0.4660783106291291,-0.1691226606334908,-0.07243245984902735,0.003624391929988202
C. Feature mới + không weight,9.763579598357657,31.986241889999995,0.5054257492515437,59,83.43162450467996,145.72328226328938,6.591014160786112,-0.3154356701202463,-1.1623736869926375,-6.798257769285257,-5.454182409686979,-0.03624844103211888,0.036598585834255126
D. Feature mới + premium weight,9.772779242266042,31.64902807805695,0.5157988432373023,59,80.60164932723649,142.67004438985194,6.722484837146877,0.009199643908385013,-0.33721381194304456,-2.8299751774434725,-3.053237873437439,0.13147067636076493,0.010373093985758586
