Model,MAE,RMSE,R2,Premium rows,Premium MAE,Premium RMSE,Common MAE
Benchmark Random Forest,10.129213903653586,33.26151604608555,0.4652027714873004,59,89.76380396333609,151.34658733360985,6.699695061667258
Premium-aware Random Forest,9.772779242266042,31.64902807805695,0.5157988432373023,59,80.60164932723649,142.67004438985194,6.722484837146877
