price_group,Rows,MAE,RMSE
Dưới 10 triệu,447.0,3.738748142130331,8.61442792817818
10-30 triệu,599.0,4.7293956913601765,7.4234270775646225
30-100 triệu,324.0,14.523690704426595,22.51634456793589
Trên 100 triệu,59.0,80.60164932723649,142.67004438985194
