Model,MAE,RMSE,R2,Seconds
Random Forest,10.129213903653586,33.26151604608555,0.4652027714873004,6.660494565963745
Extra Trees,10.42451313582882,32.745269370615226,0.48167494536692024,18.97072744369507
Linear Regression,11.362923635287796,31.483293606023413,0.5208567366991737,0.8142397403717041
Gradient Boosting,11.796191489512594,35.5582420729418,0.38879678256897954,10.080682277679443
Decision Tree,12.099161257546346,36.54956634215317,0.3542424027983305,0.4339776039123535
