Model,MAE,RMSE,R2,Seconds
Random Forest,10.543427391716497,33.43129851954448,0.45972912217426865,74.29239416122437
Linear Regression,11.237190710475728,30.587151764977556,0.5477452434253092,4.182172536849976
Generalized Linear Regression,11.237190710475728,30.587151764977556,0.5477452434253092,1.735032320022583
Gradient-Boosted Trees,11.473816020544799,33.247903393159916,0.4656404255818456,31.461193799972534
Decision Tree,11.86152470995638,38.70763733148598,0.2757335066367952,5.731474876403809
